urn,SchoolName,school_name_gias,LAName,la_name_gias,SchoolType,TotalPupils,TotalExpenditure,TeachingStaffCosts,SupplyTeachingStaffCosts,EducationSupportStaffCosts,AgencySupplyTeachingStaffCosts,EducationalConsultancyCosts,status,URN,PeriodCoveredByReturn,TotalTeachingSupportStaffCosts,TotalNonEducationalSupportStaffCosts,AdministrativeClericalStaffCosts,AuditorsCosts,OtherStaffCosts,ProfessionalServicesNonCurriculumCosts,TotalEducationalSuppliesCosts,ExaminationFeesCosts,LearningResourcesNonIctCosts,LearningResourcesIctCosts,TotalPremisesStaffServiceCosts,CleaningCaretakingCosts,MaintenancePremisesCosts,OtherOccupationCosts,PremisesStaffCosts,TotalUtilitiesCosts,EnergyCosts,WaterSewerageCosts,AdministrativeSuppliesNonEducationalCosts,TotalGrossCateringCosts,TotalNetCateringCosts,CateringStaffCosts,CateringSuppliesCosts,TotalOtherCosts,GroundsMaintenanceCosts,IndirectEmployeeExpenses,InterestChargesLoanBank,OtherInsurancePremiumsCosts,PrivateFinanceInitiativeCharges,RentRatesCosts,SpecialFacilitiesCosts,StaffDevelopmentTrainingCosts,StaffRelatedInsuranceCosts,SupplyTeacherInsurableCosts,CommunityFocusedSchoolStaff,CommunityFocusedSchoolCosts
100996,Allfarthing Primary School,Allfarthing Primary School,Wandsworth,Wandsworth,Community school,375.0,3260277.0,1495134.0,0.0,644733.0,14022.0,94859.0,success,100996.0,12.0,2248748.0,320552.0,140414.0,,139631.0,40507.0,110707.0,0.0,110707.0,17606.0,220835.0,70472.0,74055.0,12174.0,64134.0,41644.0,37921.0,3723.0,19895.0,141294.0,130660.0,0.0,141294.0,138999.0,3869.0,10239.0,0.0,10675.0,0.0,65090.0,15277.0,8846.0,0.0,25003.0,0.0,0.0
100997,Beatrix Potter Primary School,Beatrix Potter Primary School,Wandsworth,Wandsworth,Community school,345.5,2680340.0,1233926.0,0.0,550756.0,58482.0,50059.0,success,100997.0,12.0,1893223.0,182790.0,107386.0,,12381.0,63023.0,116620.0,0.0,116620.0,1414.0,149326.0,47747.0,38223.0,13358.0,49998.0,44110.0,40371.0,3739.0,12693.0,135553.0,126771.0,0.0,135553.0,144611.0,600.0,6311.0,0.0,10163.0,0.0,86598.0,9600.0,6009.0,1236.0,24094.0,0.0,0.0
101001,Brandlehow Primary School,Brandlehow Primary School,Wandsworth,Wandsworth,Community school,363.5,3323397.0,1387484.0,0.0,700897.0,54303.0,88829.0,success,101001.0,12.0,2231513.0,377465.0,189279.0,,146337.0,41849.0,159276.0,0.0,159276.0,15749.0,140053.0,55845.0,28517.0,9209.0,46482.0,55917.0,49603.0,6314.0,26946.0,182053.0,167375.0,0.0,182053.0,134425.0,2492.0,13564.0,0.0,11612.0,0.0,59430.0,18927.0,4334.0,8956.0,15110.0,0.0,0.0
101005,Earlsfield Primary School,Earlsfield Primary School,Wandsworth,Wandsworth,Community school,441.0,3432867.0,1542023.0,0.0,608456.0,79013.0,158992.0,success,101005.0,12.0,2388484.0,321272.0,183800.0,,100204.0,37268.0,79531.0,0.0,79531.0,54185.0,206175.0,82549.0,61176.0,10032.0,52418.0,57364.0,47173.0,10191.0,26230.0,209048.0,191174.0,0.0,209048.0,90578.0,403.0,3007.0,0.0,15759.0,0.0,15282.0,16109.0,16079.0,730.0,23209.0,0.0,0.0
101006,Falconbrook Primary School,Falconbrook Primary School,Wandsworth,Wandsworth,Community school,179.5,1922702.0,669606.0,0.0,446010.0,84599.0,43512.0,success,101006.0,12.0,1243727.0,219678.0,151389.0,,29570.0,38719.0,41749.0,0.0,41749.0,18356.0,180207.0,62511.0,57550.0,13365.0,46781.0,48431.0,46790.0,1641.0,22067.0,74315.0,74315.0,0.0,74315.0,74171.0,0.0,12318.0,0.0,5564.0,0.0,34944.0,0.0,4032.0,2390.0,14923.0,0.0,0.0
101009,Furzedown Primary School,Furzedown Primary School,Wandsworth,Wandsworth,Community school,336.0,2898795.0,1348320.0,6925.0,612143.0,47900.0,37177.0,success,101009.0,12.0,2052465.0,254135.0,148272.0,,74192.0,31671.0,99258.0,0.0,99258.0,17720.0,154497.0,51564.0,33379.0,22971.0,46583.0,54147.0,45408.0,8739.0,30465.0,157964.0,154080.0,0.0,157964.0,78145.0,7054.0,11182.0,0.0,10271.0,0.0,14490.0,14382.0,5897.0,0.0,14869.0,0.0,0.0
101011,Honeywell Junior School,Honeywell Junior School,Wandsworth,Wandsworth,Foundation school,320.0,2619971.0,1155483.0,0.0,397446.0,206994.0,107567.0,success,101011.0,12.0,1867490.0,157673.0,120224.0,,0.0,37449.0,127377.0,0.0,127377.0,15057.0,123930.0,60221.0,21250.0,8910.0,33549.0,36097.0,30749.0,5348.0,11900.0,139662.0,138510.0,56369.0,83293.0,140784.0,7468.0,11247.0,0.0,8473.0,0.0,9470.0,83758.0,6080.0,0.0,14288.0,0.0,0.0
101012,Honeywell Infant School,Honeywell Infant School,Wandsworth,Wandsworth,Foundation school,293.5,2525154.0,1130337.0,3656.0,560882.0,31706.0,42429.0,success,101012.0,12.0,1769010.0,163899.0,106529.0,,5436.0,51934.0,96805.0,0.0,96805.0,11522.0,115061.0,61699.0,19802.0,10283.0,23277.0,45041.0,39693.0,5348.0,18676.0,172243.0,152923.0,66659.0,105584.0,132896.0,12507.0,18421.0,0.0,10456.0,0.0,9470.0,68023.0,2606.0,0.0,11413.0,0.0,0.0
101013,Hotham Primary School,Hotham Primary School,Wandsworth,Wandsworth,Community school,362.0,2978305.0,1459976.0,14091.0,536166.0,25324.0,25537.0,success,101013.0,12.0,2061094.0,256032.0,151451.0,,65679.0,38902.0,83646.0,0.0,83646.0,6647.0,192929.0,71034.0,52617.0,6038.0,63240.0,57106.0,52097.0,5009.0,21717.0,162187.0,149970.0,0.0,162187.0,136949.0,2172.0,5141.0,0.0,10729.0,0.0,61128.0,35950.0,7404.0,0.0,14425.0,0.0,0.0
101014,John Burns Primary School,John Burns Primary School,Wandsworth,Wandsworth,Community school,161.5,2083952.0,845101.0,0.0,326543.0,15347.0,23972.0,success,101014.0,12.0,1210963.0,198760.0,165474.0,,0.0,33286.0,59528.0,0.0,59528.0,5966.0,401065.0,44119.0,353053.0,3893.0,0.0,40761.0,34411.0,6350.0,17191.0,83924.0,82709.0,0.0,83924.0,65795.0,5633.0,4130.0,0.0,5562.0,0.0,37674.0,2682.0,2399.0,0.0,7715.0,0.0,0.0
101016,Penwortham Primary School,Penwortham Primary School,Wandsworth,Wandsworth,Community school,658.5,5002120.0,2269205.0,2334.0,970818.0,683.0,132301.0,success,101016.0,12.0,3375341.0,445203.0,266873.0,,34772.0,143558.0,192338.0,0.0,192338.0,22741.0,287214.0,22472.0,48879.0,42772.0,173091.0,124029.0,90318.0,33711.0,19464.0,337510.0,334096.0,0.0,337510.0,198282.0,1736.0,26302.0,0.0,17344.0,0.0,97918.0,15069.0,12203.0,0.0,27710.0,0.0,0.0
101018,Riversdale Primary School,Riversdale Primary School,Wandsworth,Wandsworth,Community school,372.5,3864807.0,1931157.0,0.0,818281.0,90613.0,153872.0,success,101018.0,12.0,2993923.0,254466.0,160430.0,,47455.0,46581.0,106397.0,0.0,106397.0,8304.0,165080.0,66502.0,47136.0,5121.0,46321.0,42321.0,39391.0,2930.0,12929.0,148916.0,142485.0,0.0,148916.0,132471.0,101.0,2099.0,0.0,11576.0,0.0,70750.0,25664.0,5710.0,0.0,16571.0,0.0,0.0
